[2025-05-09 19:44:31.775020] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:31.775801] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:31.788934] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:31.790020] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:31.790627] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:31.791401] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:31.828223] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:31.829448] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:31.888172] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:31.889024] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:31.890066] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:31.891060] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:31.891669] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:31.892247] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:31.901301] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:31.902527] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:36.850810] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:36.851766] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:36.877602] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:36.878898] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:36.879519] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:36.880079] IP | 127.0.0.1 -> 127.0.0.53
[2025-05-09 19:44:36.880917] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:36.881706] IP | 127.0.0.53 -> 127.0.0.1
[2025-05-09 19:44:53.531143] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.531666] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.531989] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.532344] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.532936] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.533218] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.533489] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.533737] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.533950] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.534200] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.534514] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.534806] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.535110] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.535377] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.535619] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.535851] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.536099] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.536356] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.536604] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.536838] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.537099] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.537353] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.537980] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.538419] TCP | 127.0.0.1 -> 127.0.0.1
[2025-05-09 19:44:53.538731] TCP | 127.0.0.1 -> 127.0.0.1
